user_id,full_name,email,phone_number,role,department,account_status
DGU0001,Generated User 0001,generated.user0001@hcmus.edu.vn,0970000001,student,Computer Science,active
DGU0002,Generated User 0002,generated.user0002@hcmus.edu.vn,0970000002,student,Computer Science,active
DGU0003,Generated User 0003,generated.user0003@hcmus.edu.vn,0970000003,student,Computer Science,active
DGU0004,Generated User 0004,generated.user0004@hcmus.edu.vn,0970000004,student,Computer Science,active
DGU0005,Generated User 0005,generated.user0005@hcmus.edu.vn,0970000005,student,Computer Science,active
DGU0006,Generated User 0006,generated.user0006@hcmus.edu.vn,0970000006,student,Computer Science,active
DGU0007,Generated User 0007,generated.user0007@hcmus.edu.vn,0970000007,student,Computer Science,active
DGU0008,Generated User 0008,generated.user0008@hcmus.edu.vn,0970000008,student,Computer Science,active
DGU0009,Generated User 0009,generated.user0009@hcmus.edu.vn,0970000009,student,Computer Science,active
DGU0010,Generated User 0010,generated.user0010@hcmus.edu.vn,0970000010,student,Computer Science,active
DGU0011,Generated User 0011,generated.user0011@hcmus.edu.vn,0970000011,student,Computer Science,active
DGU0012,Generated User 0012,generated.user0012@hcmus.edu.vn,0970000012,student,Computer Science,active
DGU0013,Generated User 0013,generated.user0013@hcmus.edu.vn,0970000013,student,Computer Science,active
DGU0014,Generated User 0014,generated.user0014@hcmus.edu.vn,0970000014,student,Computer Science,active
DGU0015,Generated User 0015,generated.user0015@hcmus.edu.vn,0970000015,student,Computer Science,active
DGU0016,Generated User 0016,generated.user0016@hcmus.edu.vn,0970000016,student,Computer Science,active
DGU0017,Generated User 0017,generated.user0017@hcmus.edu.vn,0970000017,student,Computer Science,active
DGU0018,Generated User 0018,generated.user0018@hcmus.edu.vn,0970000018,student,Computer Science,active
DGU0019,Generated User 0019,generated.user0019@hcmus.edu.vn,0970000019,student,Computer Science,active
DGU0020,Generated User 0020,generated.user0020@hcmus.edu.vn,0970000020,student,Computer Science,active
DGU0021,Generated User 0021,generated.user0021@hcmus.edu.vn,0970000021,student,Computer Science,active
DGU0022,Generated User 0022,generated.user0022@hcmus.edu.vn,0970000022,student,Computer Science,active
DGU0023,Generated User 0023,generated.user0023@hcmus.edu.vn,0970000023,student,Computer Science,active
DGU0024,Generated User 0024,generated.user0024@hcmus.edu.vn,0970000024,student,Computer Science,active
DGU0025,Generated User 0025,generated.user0025@hcmus.edu.vn,0970000025,student,Computer Science,active
DGU0026,Generated User 0026,generated.user0026@hcmus.edu.vn,0970000026,student,Computer Science,active
DGU0027,Generated User 0027,generated.user0027@hcmus.edu.vn,0970000027,student,Computer Science,active
DGU0028,Generated User 0028,generated.user0028@hcmus.edu.vn,0970000028,student,Computer Science,active
